,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
1010,WTG-J,11.13383102,11.03490925,11.27653503,11.1799202,10.79389381,10.69327164,2809.330322,-3278.5,1196.380005,759504,69.08559418,-3.700000048,12.89496803,OnLine,54.05144501,33.04111481,52.31096268,85.74772644,7.239448071,133.6591339,337.2540283,11.81039524,4.374511719
1154,WTG-J,6.149093628,6.170991898,6.295654774,6.316002846,5.800678253,5.829354286,2418.199463,-3278.5,1933.92749,800655,70.06195068,-3.700000048,13.57260036,OnLine,56.57417679,33.78808212,53.48377991,90.25378418,9.344771385,56.11543655,335.0601196,9.616322517,6.247741699
1298,WTG-J,-0.776682436,-0.437743783,-0.621174276,-0.292732686,-1.145305276,-0.779381275,306.5805969,-3278.5,355.6606445,825142,62.60069656,-3.700000048,7.51458931,OnLine,56.38673019,34.14282608,50.84561157,49.96979904,10.92355633,79.44229889,311.7295837,4.574687481,5.132751465
1442,WTG-J,3.973156691,3.869220018,4.118810177,4.014230728,3.630131245,3.527582407,2053.894043,-3278.5,1816.028931,860263,69.75436401,-3.700000048,13.4679327,OnLine,53.60490417,31.7470665,52.48869324,89.55776978,10.23949146,110.6704788,288.2815552,8.77236557,0.858642578
1586,WTG-J,1.537566423,1.829256535,1.682379246,1.967585087,1.190525055,1.370819449,67.27113342,-3278.5,0.603062868,876253,60.79130554,-3.700000048,7.755812645,OnLine,41.9666748,25.11221504,40.58080292,51.57386017,15.94033241,19.85035706,188.153717,3.223948479,5.832885742
1730,WTG-J,83.42871094,83.19690704,83.41601563,83.19690704,83.42281342,83.19690704,0.629489481,-3278.5,-8.543755531,878217,44.00492096,-3.700000048,0,Weather Outage,33.16332626,27.01181602,32.39409637,0,0,0,270.1557007,0.069943279,92.61569214
1874,WTG-J,64.28488159,63.20801163,64.30831146,63.31990051,64.16860199,62.94440842,84.30524445,-3278.5,-8.492311478,882440,59.6563797,-3.700000048,0.221313238,OK,42.45787048,25.68963623,39.14054489,1.471667647,0.39375174,43.42250824,205.2787933,3.3770082,21.28422546
2018,WTG-J,84.39117432,85,85.01203156,85,84.99151611,85,12.79828548,-3278.5,-3.125229597,890596,50.71682358,-3.700000048,0,Weather Outage,41.26942825,28.77004623,37.53467941,0,0,2.21775198,288,1.422031641,65.56564331
2162,WTG-J,0.414857388,0.375864714,0.550205052,0.520875812,0.06257958,0.034227181,907.1113281,-3278.5,2235.706543,897938,70.08785248,-3.700000048,13.4297142,OnLine,55.10493088,29.74799728,47.63718796,89.30362701,13.83553314,56.33755875,296.4206238,6.45673275,1.902374268
2306,WTG-J,-0.097271375,-0.103985801,0.047523107,0.041025277,-0.438092947,-0.445623338,395.7530212,-3278.5,2128.2146,903354,68.47484589,-3.700000048,13.09390926,OnLine,46.46854019,29.97990799,44.57689285,87.07062531,17.21847534,92.84632111,254.5767517,4.996460438,2.159973145
2450,WTG-J,0.230387837,0.23033841,0.341312528,0.375349522,-0.11272084,-0.111299105,2105.875732,-3278.5,2144.692627,916172,68.9378891,-3.700000048,13.11984158,OnLine,49.76369476,27.12719727,44.3817215,88.1951828,9.849549294,127.1946411,294.2247314,8.844133377,1
2594,WTG-J,1.820607066,1.843117714,1.968530774,1.988128781,1.481076717,1.501480103,2571.297607,-3278.5,2656.891113,950289,70.30000305,-3.700000048,13.50902367,OnLine,54.99608994,31.05218315,51.28517914,87.79006958,8.960739136,75.64426422,303.7819519,10.02929211,2.218048096
2738,WTG-J,6.584679604,6.666752338,6.725198269,6.811763287,6.243747234,6.325114727,2641.144043,-3278.5,2456.789551,988457,70.40000153,-3.700000048,13.44128036,OnLine,56.40684509,33.8080864,52.08096695,88.87911987,8.092131615,107.6173248,341.3697205,11.08476257,5.058674812
2882,WTG-J,9.638936043,9.665596008,9.783103943,9.810606956,9.295717239,9.323958397,2803.087158,-3278.5,2396.862549,1044681,70.24391937,-3.700000048,13.5261097,OnLine,55.91756821,33.05099869,52.46197128,89.83176422,6.450100422,110.6213379,336.4753113,13.83629036,0.986523867
3026,WTG-J,18.20626831,17.96846581,18.03384972,18.20981216,16.54231834,16.52029037,2820,-3278.5,2277.068848,1086852,68.53936768,-3.700000048,13.47383404,OnLine,42.7805481,20.70680237,46.12540054,88.51822662,4.374038696,171.848465,169.8149719,20.54771614,0.482883394
3170,WTG-J,6.316056728,6.328971386,6.460002899,6.473982334,5.975845337,5.987333775,2819.048096,-3278.5,2839.099854,1117067,68.12520599,-3.700000048,13.48900795,OnLine,34.42486191,25.77913857,43.57249832,89.77500153,7.385426998,111.7037659,303.8861694,12.12529087,0.886169434
3314,WTG-J,12.37426853,11.895298,10.25167465,10.10025883,12.4565239,11.99105167,2819.969971,-3278.5,2479.907471,1176331,67.70342255,-3.700000048,13.50388432,OnLine,35.24108124,26.34883499,45.46256256,89.27836609,7.07280159,161.6886139,299.9776306,12.54417706,12.02236938
3458,WTG-J,1.203551173,1.471019864,1.363469124,1.616030931,0.855733752,1.129382372,41.97080231,-3278.5,113.8374786,1194993,60.96793365,-3.700000048,7.498569489,OnLine,32.31351471,24.66633034,38.79669952,50.29753876,16.0581398,37.00750732,320.098938,3.098492146,1.393048286
3602,WTG-J,1.677252889,1.454101682,1.704066753,1.484753489,1.588667512,1.365126729,57.93395233,-3278.5,25.48177147,1200065,59.40815353,-3.700000048,7.493979931,OnLine,29.76678848,21.72237968,37.5130043,51.68958664,15.90393162,39.01508713,171.349411,3.131114721,6.349411011
3746,WTG-J,0.670254529,0.678397655,0.697251022,0.709049463,0.576155186,0.589422762,175.7216034,-3278.5,210.5596313,1244240,60.65146637,-3.700000048,7.474123955,OnLine,26.61638641,18.90616035,39.03978729,51.64558792,12.82988453,30.70397949,153.5348816,3.909826517,4.465118408
