,turbine,blade1actual,blade2actual,blade3actual,power,rotor speed,generating outboard bearing temp,hub temp,wind speed
3026,WTG-C,17.26519203,15.13088608,16.9619503,2268.201416,13.2931776,29.87905884,19.11371803,16.6625576
3170,WTG-C,2.209629536,2.290248394,2.136962414,2797.689697,13.45876408,35.54964828,24.67212296,9.011603355
3314,WTG-C,13.56194878,12.86556339,14.07767487,1130.05249,12.90279579,37.49079132,24.07765388,6.67407465
3458,WTG-C,1.646884799,1.64970994,1.653720737,85.46850586,7.476305008,36.72715378,23.91221046,2.165328264
3602,WTG-C,-0.748977482,-0.97026813,-0.799088717,416.1834717,7.573421001,33.5219841,21.6969738,3.76736474
3746,WTG-C,88.71825409,88.5557785,87.04132843,-14.34890366,0.095905937,27.93212891,19.84284019,10.06736755
3890,WTG-C,-0.716097713,-0.973632872,-0.782821894,1370.34375,11.0775547,31.5951786,20.79855347,5.939859867
4034,WTG-C,85.007164,84.99981689,84.99747467,-6.733674526,0.721472442,32.79047775,21.79952431,15.65181065
4178,WTG-C,7.200361729,6.951385021,7.218788147,1552.331787,12.95873928,33.04827881,22.97494507,5.986879826
4322,WTG-C,9.800889969,9.767288208,9.918369293,2323.490479,13.42474461,36.18845749,26.09052467,9.638888359
4466,WTG-C,-0.767006397,-0.973564863,-0.842965126,357.4607239,7.463816643,32.64433289,21.89235115,3.630313873
4610,WTG-C,-0.68500638,-0.937644601,-0.813016713,575.5180664,8.386556625,35.1440773,21.75946045,4.223292828
4754,WTG-C,1.590992332,1.332378507,1.51433444,2496.263184,13.43789577,37.20537949,25.66326141,6.922559261
4898,WTG-C,11.15974522,10.89933395,11.25718784,2874.672119,13.42646408,40.98773956,29.86297035,12.18148422
5042,WTG-C,1.648932576,1.429418206,1.580288291,-1.45898819,7.44402504,35.51501465,27.06675911,1.995980501
5186,WTG-C,2.061939955,1.808626413,2.036575794,2602.703857,13.40111256,28.1498127,18.04037094,8.274591446
5330,WTG-C,8.788505554,9.042917252,9.007277489,2859.782959,13.43764591,38.62787628,27.01127625,12.53741932
5474,WTG-C,7.533398151,6.380722046,6.320263863,2787.459961,13.3666935,28.43837929,17.77268219,9.924007416
